t=2026-05-22T00:08:10+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-22T00:08:10+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\prakhar\\AppData\\Local/ngrok/ngrok.yml
t=2026-05-22T00:08:10+0530 lvl=info msg="open config file" path=C:\\Users\\prakhar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T02:21:05+0530 lvl=info msg="join connections" obj=join id=3a3d86774edc l=[::1]:8080 r=80.79.7.105:8515
t=2026-05-22T02:23:17+0530 lvl=info msg="join connections" obj=join id=d7cf1137890f l=[::1]:8080 r=80.79.7.105:8515
t=2026-05-22T02:24:16+0530 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=f21587d4feda err="read tcp [2401:4900:9397:d8dc:55b9:ce3d:e74e:1ea8]:57573->[2406:da1a:e91:9301:f1a3:66ed:d097:b95c]:443: wsarecv: An established connection was aborted by the software in your host machine."
t=2026-05-22T02:24:18+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-22T02:24:18+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-22T02:24:24+0530 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=9ad6911a317f clientid=53c37cf7e24cb28779eaae2a577987fc
t=2026-05-22T02:25:02+0530 lvl=info msg="join connections" obj=join id=d97a09a1cedb l=[::1]:8080 r=80.79.7.105:33886
t=2026-05-22T02:26:23+0530 lvl=info msg="join connections" obj=join id=00f628850edd l=[::1]:8080 r=80.79.7.105:33886
t=2026-05-22T02:26:25+0530 lvl=info msg="join connections" obj=join id=983a52342fd4 l=[::1]:8080 r=80.79.7.105:33082
t=2026-05-22T02:26:25+0530 lvl=info msg="join connections" obj=join id=5c88dea9c487 l=[::1]:8080 r=80.79.7.105:33082
t=2026-05-22T02:26:38+0530 lvl=info msg="join connections" obj=join id=54c9368ee2c0 l=[::1]:8080 r=80.79.7.105:33082
t=2026-05-22T02:26:49+0530 lvl=info msg="join connections" obj=join id=cbd5dc694e50 l=[::1]:8080 r=80.79.7.105:62658
t=2026-05-22T02:26:50+0530 lvl=info msg="join connections" obj=join id=4e1e9fb50136 l=[::1]:8080 r=80.79.7.105:62658
t=2026-05-22T02:26:50+0530 lvl=info msg="join connections" obj=join id=638570c6d287 l=[::1]:8080 r=80.79.7.105:62658
t=2026-05-22T02:26:50+0530 lvl=info msg="join connections" obj=join id=511c2eda381e l=[::1]:8080 r=80.79.7.105:62658
t=2026-05-22T02:26:50+0530 lvl=info msg="join connections" obj=join id=e7f51a8bc724 l=[::1]:8080 r=80.79.7.105:62658
t=2026-05-22T02:26:51+0530 lvl=info msg="join connections" obj=join id=da9270805a83 l=[::1]:8080 r=80.79.7.105:48542
t=2026-05-22T02:26:51+0530 lvl=info msg="join connections" obj=join id=2d9028b5d631 l=[::1]:8080 r=80.79.7.105:48542
t=2026-05-22T02:26:51+0530 lvl=info msg="join connections" obj=join id=5faee254a8d5 l=[::1]:8080 r=80.79.7.105:48542
t=2026-05-22T02:26:51+0530 lvl=info msg="join connections" obj=join id=d6bd723e9d99 l=[::1]:8080 r=80.79.7.105:48542
t=2026-05-22T02:27:04+0530 lvl=info msg="join connections" obj=join id=25061da4180b l=[::1]:8080 r=80.79.7.105:48542
t=2026-05-22T02:27:07+0530 lvl=info msg="join connections" obj=join id=bb0417d67928 l=[::1]:8080 r=80.79.7.105:17017
t=2026-05-22T02:27:07+0530 lvl=info msg="join connections" obj=join id=e1d135fa24f0 l=[::1]:8080 r=80.79.7.105:17017
